 ,Public Figure Name,Statement,Positive/Negative,
184174P,Abisheka Wimalaweera,"සාමාන්‍යයෙන් පෞද්ගලික චරිත ගැන ලියන්න හොද  නෑ.ඒ අනාගතයෙ ඒ මිනිස්සු අතින් වෙන දේවල් අපිට predict කරන්න බැරි නිසා.ඒත් පට්ට හීතලේ දඩාර පීඩනයක් එක්ක ගහන මැච් එකකදි සිද්ද වෙන මේ වගේ දෙයක් හෑල්ලු කරන එක ගැනනම් අපිට සෑහෙන්න හිතන්න වෙනවා.ඔන්න කෝලිට වගේ  නම් කමක් නෑ.කෝලිට වගේ  නම් කමක් නෑ කියල කිව්වෙ එහෙම උනානම් fans ල get well soon කියන හින්දා.

මේ ලංකාවෙ TEAM එක..අපිට ඕනෙ ලංකාව දිනන්න.
ලංකාවෙ ඉදලත් අද අපිට හෙම්බිරිස්සාව...😊

ක්‍රිකටර්ස්ලත් මිනිස්සු !

සිංහයන්ට cup එක ගේන්න ලැබේවා..",Positive,
,Roshan Fernando,"මම නුවරඑළියේ ඉදන් කොළඹට ඇවිල්ලා ගායකයෙක් වෙන්න උත්සාහ කරන කෙනෙක්. Roshan fernando අයියා  කියන්නේ සංගීත ක්ෂේත්‍රයේ අවුරුදු ගාණක් අත්දැකීම් තියෙන එළිමහන් කණ්ඩායම් සංගීතයේ legend කෙනෙක්. ප්‍රථම වතාවට ෆ්ලෑෂ් බැක් ශබ්දාගාරයට ගියා practice වලට.

මෙහෙම ආදරණීය පිළිගැනීමක් සහ සහෝදරයන් පිරිසක් හමුවීමට ලැබීම ද මගේ ජීවිතයේ සතුටක් භාග්‍යයක්..

ඒ හැමදෙනාම සුන්දර මිනිසුන්.
අපි වේදිකාවේ දී අපි අපිව බෙදාගමු...බදා ගමු",Positive,
,Rasika Jayakodi,"Ego system Vs. Eco system 

සාමාන්‍යයෙන් ලංකාවේ මිනිස්සු එකට වැඩ කරන්න පුරුදු වෙලා තියෙන්නේ Ego system එක්ක. ඒ කියන්නේ නායකයා කියලා කෙනෙක් ඉන්නවා. නායකයා සියල්ල දන්නවා. නායකයා අනෙක් අයට අණ දෙනවා. වෙන්න ඕන දේවල් කියනවා. අනෙක් අය නායකයා අහන්න කැමති, නායකයා ගේ හිත සතුටු වෙන දේවල් කියනවා. හැමෝටම තම තමන්ට අයිති කොටස් තියෙනවා. මේ කොටස් රැක ගන්න ඒ ඒ අය අතර බල අරගල තියෙනවා. මිනිස්සු ඒ බල අරගල අතර ගැටෙමින්, මොන මොනවා හෝ කරමින් තමන් ගේ කාලය දිය කරලා හරිනවා.

ලිබරල් ප්‍රජාතන්ත්‍රවාදී ව්‍යාපාරය විශ්වාසය තියන්නේ ego system මත නෙවෙයි eco system මත.

Eco system එකක ඉන්නේ හිතමිතුරන් පමණයි. අපි එකිකෙනාගෙන් ඉගෙන ගන්නවා. එකිනෙකා එක්ක අදහස් හුවමාරු කරගන්නවා. දැනුම බෙදාහදාගන්නවා. කරන්න පුළුවන් දේවල් යෝජනා කරනවා. ඒවාට වගකීම බාරගන්නවා. අනෙක් අය අවංකව ඒ ගැන තමන් ගේ අදහස් පළ කරනවා. තමන් තමන්ට වගවෙනවා. එකිනෙකාට උදව් කරනවා. එකිනෙකා පෝෂණය කරගන්නවා. මේ නිසා කුමන වැඩක් කළත් එයින් තමන් ඇතුළාන්තයෙන් පොහොසත් වෙනවා. 

මේ ලිබරල් ප්‍රජාතන්ත්‍රවාදී ව්‍යාපාරය (LDM) එක්ක සම්බන්ධ 
තොරතුරු තාක්ෂණ වෘත්තිකයන් කණ්ඩායමක් එක්ක අද කරපු සාකච්ඡාවක්. 

අපි ego system මත නොව eco system මත දුවන රටක් ගොඩනගමු 

#lka #SriLanka #life",Positive,
,Peshala Manoj,"අද උදේ දැකපු සුන්දර දර්ශණයක්. නුගේගොඩ St.Johns College එකේ 
මට ඉන්දියාවේ Bhathkande University එකේ අපි ඉගෙන ගන්න කාලෙ මතක් උනා 
අපේ ගුරැවරැ ශිෂ්‍යයන් කාර්‍යමණ්ඩලය සියලුම දෙනා University එකට ඇතුල් වෙන්නේ ඒ පොලවට වැදලා
අද උදේ නුගේගොඩ St,Johns ලමයින්ගෙන් මම ඒ දේ දැක්කා 
ජයවේවා සියලුම සිසු දරැවන්ට 🙏🙏🙏",Positive,
,Mahinda Deshapriya,"Smoking is a bad habit 
Menda , Danee🏏✌.
Cricket lovely cricket   BR ඉන්න නිසා  150+  ඒ ඇති",Positive,
,Madhavi Anthony,"Safety Airbag නැති, Sensors නැති, Auto Break system නැති, LED හෙඩ්ලයිට් නැති, Viper එකවත් හරියට වැඩ කරන්නෙ නැති 1996 දී පළමු වාහනය විදිහට අප්පච්චි ගත්තු කැබ් එකක් වෙනුවට ඔය හම්බ කලා කියන සල්ලි වළින් අප්පච්චි හීන දැකපු විදිහේ JEEP එකක් ගන්න එයාට පුළුවන් වුනා නම්, අද එයාලත් අලියත් හැමෝම හොඳින් 🙁

සිංහබාහු නිශ්පාදන කණ්ඩායම විසින් ලබා දුන් ඉන්දන ලීටර් 30 කින් අනුරාධපුරය ශූටිං ගිහින් ඉද්දි අනතුරට ලක් වුනාම, දේශපාලනික සම්බන්ධතා අම්බානක තිබුනා නම් අනතුර වෙලා පැය හත අටක් යනකනුත් මහ මගින් මිසක් ගුවන් මගින් අප්පච්චි ව කොළඹට ගෙන්නගන්න අවසර ගන්න ඒ නිශ්පාදක කණ්ඩායමට නොහැකි වෙන්නෙ නෑ... 🙂

හැප්පුනේ එයාලා වුනාට තුවාල වුනේ අපි හැමෝටමයි.
මේ වගේ දරාගන්න අමාරුම ප්‍රශ්නකාරී මොහොතක ""කාගේ වුනත්"" ආදරේ සැබෑවටම ඇති හෝ නැති බව මැනෙවින් පසක් වෙනවා... 💔
සිතින්, වචනෙන් සහ ක්‍රියාවෙන්...

තනි නොකලම යුතු වෙලාවක හිත හදන්න බැරි නම් අඩු තරමේ හිත නොරිදවා නිහඬව ඉන්නවා නම් කොච්චර හොඳ ද... 😔",Negative,
,Shalani Tharuka,"ජීවිතේ අපිට එක එක ජාතියේ පුද්ගලයින් හමුවෙනවා. සමහරු අපිට ආදරේ පෙරවදන කියල දීලා යනවා.  සමහරු අනාගතය Strong කරලා යනවා. සමහරු වේදනාවක් එක්ක ජීවිතයම අදුරු කරලා යනවා. සමහරු ඔයාගෙන්ම බැබලිලා ඔයාව හෑල්ලු කරලා යනවා. තවත් සමහරු ඔයාව කූඩුවක දාගෙන නීතිපොතක් අස්සේ ඇති කරනවා.
හැබැයි ඔයා ඉවසලා හිටියොත් දවසක් එනවා ඔයාට ඔයා වෙන්න පුලුවන් ඔයාට හදවතින්ම ආදරය කරන මුලු ලෝකයම ඔයා කර ගත්ත කෙනෙක් හමුවෙන, එතැන හරිම සුන්දරයි. මොන ප්‍රශ්නය ආවත් ඔයාව දාලා යන්නැති හැමදේකදිම ඔයාට හයියක් වෙන, Toxic relationships එක්ක හෙම්බත් වුන ඔයාට ඇස්දෙක පියාගෙන සැනසෙන්න පුලුවන් තැනක්. කොච්චර දුරට තල්ලුකරත් ඔයාටම ඇදිලා එන කෙනෙක් . ඔයා lucky දැනටමත් ඒ කෙනා ඔයාට හම්බ වෙලානම් , පලමු ආදරේම ඒ කෙනා වුනානම්.
හැබැයි ගොඩාක් පරක්කු වෙලා හරි දවසක එයා ඔයාට මුන ගැහෙනවා. එදාට ඒ ආදරේ පරිස්සම් කරගන්න. සමහරවිට එයත් ඔයා වගේම ආදරේ හොයලා හෙම්බත්වුන කෙනෙක් වෙන්න පුලුවන්. එහෙම නැත්තන් ඔයාගේ මුලු ලෝකෙම ලස්සන කරන්න එයා ආවා වෙන්න පුලුවන්.
අන්න ඒ ඇස් දිහා බලලා ඒ අත්දෙක හයියෙන් අල්ලගන්න එදාට දැනෙයි මේ ජීවිතේ කොච්චර ලස්සනයිද කියලා.",Negative,
,Ajith Perera(Master Potter),"උපකරන...
ඇයි අපිට විතරක් මෙහෙම උනේ...
මම ජීවිතකාලයම මේ ගැන කල්පනා කරනවා...මට හැම විටම කල්පනාවෙනවා ..හිතෙනවා..දැනෙනවා. අපේ මිනිසාගේ මහා අඩුවක් ..හිස් තැනක්...කොහොමද ඒ හිස්තැන හැදුනේ..කොහොමද ඒ අඩුව හදුනේ...
අඩුව තියෙන්නේ කොහෙද...
Lifestyle එකේම තමයි..
Lifestyle එකක් වෙනස් කරන්න බන කියලා පන්ති තියලා දේශන තියලා බෑ..
ඒකට අවශ්‍ය අවකාශය …space එක නිර්මානය කරන්න ඕනේ...
වෙනසට අවශ්‍ය උපකරන Tools සමාජගතකරන්න ඔනේ...
අපේ එහෙම උනේ නෑ එහෙම කරේ නෑ..
එහෙමකරන්න දැනගත්ත මිනිස්සු හිටියේ නෑ ..තාමත් නෑ..
උපකරන ආවේ හිස් අවකාශයක නෙමෙයි..මානව සමාජයේ වර්දනයත් එක්ක තමයි ආවේ..
එකකට පස්සේ එකක් ආවමත් නෙමෙයි...
එකටම සමාන්තරව සිදුවෙන්නේ...අපේ සමාජයේ මේ Lifestyle වෙනස සිදුවෙනවාම නෙමෙයි..එහෙම උනත් ඒක එන්නේ උත්තරාරෝපිතව..උඩින් ගන්නේ..කොපි කරනවා සරලා බාසාවෙන් කියනවානම්..
ඒ නිසා තමයි මේ සමාජය පුරාවටම අවලස්සන නොගැලපීමක් පේන්නේ..
දියුනු උපකරන ආවට ඒවා ප්‍රයෝජනයට ගන්නේ...නොදියුනු පසුගාමී...එකෙක් . මිනිහෙක්...කල වැද්දෙක්...
අරගලය..
අරගලයට සම්බන්ද උනු බොහෝ තරුන ජනයා ..මේ සමාජයට එන නව උපකරන වලට සාපේක්ශව බුද්දිමය සන්වර්දනයකටත් පාත්‍ර උනු පරපුරක්...මොකද උන් උපදින්න පෙර බිමට ආපූ උපකරන එක්ක තමයි ජීවිතය හැඩගැහෙන්නේ...උන්ට මේ උපකරන විශේශ නෑ...
ඒත්...
උන්ටත් පූර්න ජීවන දර්ශනයේ වෙනසකට යන්න ඉඩක් නෑ..
ඒ ආදී කල්පික නාකී වසන්ගත පරපුරක් මේ රටේ පාලන බලය හොබවන නිසා...
නව උපකරන බාවිතයට ගන්න අවස්තාවක් නොලැබුනු ග්‍රාමීය පිරිසක් දේශපාලන බලයේ සිටින නිසා...
අවසානයේ කියන්න තියෙන්නේ එක දෙයයි..
අපි පට්ට අවුලක ඉන්නේ

මේ සමාජයේ Lifestyle change එකක් අනිවාර්‍යයි..

ඒකට අවශ්‍ය උපකරන..වර්න..සමාජ ගත කරන්නම ඕනේ..
නව උපකරන විසින් 
මේ නොගැලපෙන බාවය මිනිස් ජීවිත තුල තියෙන වෙන් කොට පෙන්වයි..
මිනිස්සුන්ට එතකොට ප්‍රායෝගිකව දැනේවී..
මේක කුඩුපට්ටම් කරන්න ඕනේ කියලා..
මම විස්වාස කරනවා
Lifestyle වෙනසක් සදහා වැඩකොටසක් කල යුතුයි කියා....
Let’s redesign our motherland",Negative,
,Rasika Jayakodi,"ඇත්තට ම ආණ්ඩුව විසින් කළ යුතුව තිබුණේ ආදායම් බදු වැඩි කරන්නට කලින් ලෝකයේ වෙනත් රටවල තිබෙන අන්දමේ හොඳ wealth tax ක්‍රමවේදයක් හඳුන්වා දීමයි. 

දැනටමත් බදු ගෙවන මිනිසුන්ගෙන් වැඩි වැඩියෙන් බදු ලබාගන්නවා වෙනුවට අවධානය යොමු කළ යුතුව තිබුණේ බදු නොගෙවන මිනිසුන් බදු දැලට හසු කරගැනීමයි. wealth tax එකකින් සිදුවන්නේ දැනට බදු නොගෙවන අය බදුවලට හසු කරගැනීමට වැඩි ඉඩකඩක් ලැබීමයි. 

ලංකාවේ බදු නොගෙවන හුඟ දෙනෙකු තමන් ගේ මුදල් නිකම් තියාගෙන ඉන්නේ නැහැ. දේපල මිලදී ගන්නවා. යානවාහන මිල දී ගන්නවා. නිවාස සහ අපාර්ට්මන්ට් මිලදී ගන්නවා. ඔවුන් මිලදී ගන්න මේ ඉහළ වටිනාකමකින් යුතු දේපල සඳහා දැනට වඩා ඉහළ බදු අය කළ යුතුයි. ලංකාවේ දැනට ඒ සඳහා තිබෙන්නේ නොගිණිය හැකි තරම් වන නාමික බදු පමණයි. මේ දේපල සඳහා අය කරන බදු දැනට වඩා සැළකිය යුතු ප්‍රමාණයකින් ඉහළ නැංවිය හැකියි. එහෙම ඉහළ wealth tax ක්‍රමවේදයක් හරහා මැසික වැටුප සමබර කරගෙන දුවන මැදි ආදායම් ලාභී මධ්‍යම පාංතිකයා යම් තරමකින් ආරක්ෂා කළ හැකියි. එමෙන් ම බදු ආදායම ඉහළ නංවා ගත හැකියි. 

නමුත් ලංකාවේ නීති හදන කිසි කෙනෙකු මේ wealth tax ගැන හිතන්නේවත් නැහැ. එයට හේතුව ප්‍රතිපත්ති සම්පාදකයන් හුඟ දෙනෙකු ද දේපල විශාල වශයෙන් හිමි, ඒ සඳහා බදු ගෙවන්නට අකැමැති පිරිසක් වන නිසයි. ඒ නිසා අප විශ්වාස කරන්නේ මේ අභියෝග ජයගත හැක්කේ තමන් ගැන නොසිතා, පොදු යහපත ගැන සිතා තීරණ ගත හැකි පැහැදිලි දැක්මක් සහ විසඳුම් ඇති අලුත් කණ්ඩායමකට බවයි. සුරංගනා කතාකාරයන්ට මේ කිසිම ප්‍රශ්නයකට විසඳුම් ලබාදෙන්නට බැහැ. 

එයට සමගාමීව රාජ්‍ය වියදම් අඩු කිරීමේ (cost-cutting) පුළුල් සැලසුමක් සහ ශක්තිමත් දූෂණ මර්දන නීති හඳුන්වා දීමෙන් බදු ක්‍රමය සම්බන්ධයෙන් මහජන විශ්වාසය තහවුරු කළ යුතුයි. 

බදු ක්‍රමවේදය සඳහා අපට ඇති විසඳුම් ඊයේ ලිබරල් ප්‍රජාතන්ත්‍රවාදී ව්‍යාපාරයේ(LDM) පැවති මේ සංවාදයේ දී පුළුල්ව සාකච්ඡා කළා. ප්‍රාග්ධන සහ මූල්‍ය වෙළෙඳපොළ විශේෂඥ චන්දු එපිටවල සහ මූල්‍ය හා කළමනාකරණ විශේෂඥ ප්‍රසන්ත අබේකෝන් මේ සඳහා කථිකයන් ලෙස සහභාගි වුණා. 

#lka #SriLanka #life",Negative,
,Tushara Wickramanayaka,"දරුවො forward විය යුතුයි - මෙන්න දේශ පාලනයට සුදුසු අන්කට් දියමන්තියක්! 

දරුවෙක් කියන්නෙ පැත්තකට වෙලා කට පියාගෙන අනුන් කියන දේ අහලා, අනුන්ට ඕන දේ කරලා සමාජයෙ කාගෙවත් චායාවක් විය යුතු කෙනෙක් නෙවේ. 

'ළමා සුරැකුම් යාත්‍රා' නුවරදි Saranga Disasekara ගෙ #NOගුටි විඩියෝව පෙන්නලා ඉවර වුණහම මුලු ශාලාවම නිහඬතාවයෙන් ගොලු වෙලා තත්පර ගාණක් නිසොල්මන් වුණා. හරියට හුස්ම හිර වුණා වගේ. චූටි කට හඬක් ඒ නිහඬතාවය දෙබෑ කරන් ""අපිට ආදරයෙන් කියා දෙන්න"" කියලා කෑ ගැහුවා. හැමෝම එක වර හුස්ම ගත්තෙ එවෙලෙයි. මේ පුතා විඩියෝවෙ හරය වචන කීපයකින් සමාලෝචනය කලේ මාවත් පුදුම කරවමින්. 

අවුරුදු පහක් වෙච්චි මේ පොඩ්ඩා කිසිම පැකිලීමක් නැතිව කතා කලා. හරිම හුරතල්. සබ කෝලය නැති දරුවෙක් නිර්භයයි, නිර්මාණශීලියි, නිර්වජ්‍යයි...ඕනෑම වේදිකාවක, ඕනෑම ජගතෙක් එක්ක සංවාද කරන්න දරුවන් බලාත්මක කරන්න. 21 වෙනි සියවසේ දරුවෝ බය කරලා, හංගලා, බැනලා, ගහලා මකන්න බෑ.

උරහිසින් ඇල්ලීම unsafe/bad touch නෙවේ - Forward දරුවෙක් මුණ ගැහුනොත් අවස්ථාව දෙන්න දිලිසෙන්න! 

#225මඕන #noගුටි #මගේනොවනදරුවා",Negative,
